종목코드,종목명,업종,현재가,PER,PBR,ROE(%),PEG,배당률(%),시가총액(억),1개월_수익률(%),3개월_수익률(%),5개월_수익률(%)
005300,롯데칠성,기타,95000.0,20.23,0.63,3.11,6.5,0.0,88.15,-2.76,-0.94,-22.76
079160,CJ CGV,기타,5300.0,-6.11,1.54,0.0,0.0,0.0,87.76,1.34,22.97,7.29
003470,유안타증권,기타,4535.0,10.08,0.49,4.86,2.07,0.0,87.38,-3.41,8.1,-16.33
014620,성광벤드,기타,33150.0,26.1,1.6,6.13,4.26,0.0,88.04,26.53,32.07,-31.37
119850,지엔씨에너지,기타,53000.0,21.83,3.92,17.96,1.22,0.0,87.18,4.13,177.34,46.81
006110,삼아알미늄,기타,57200.0,-33.81,3.86,0.0,0.0,0.0,86.51,-4.51,50.92,-16.86
071055,한국금융지주우,기타,146300.0,0.0,0.0,0.0,0.0,0.0,85.71,-2.47,1.11,-16.78
035760,CJ ENM,기타,38450.0,28.59,0.29,1.01,28.31,0.0,84.32,17.94,26.07,-30.34
065350,신성델타테크,기타,30800.0,38.99,3.4,8.72,4.47,0.0,84.65,6.57,9.61,-48.32
115180,큐리언트,기타,22300.0,-26.39,24.67,0.0,0.0,0.0,83.7,-10.98,13.26,-45.61
445680,큐리옥스바이오시스템즈,기타,47900.0,-29.12,15.53,0.0,0.0,0.0,82.51,-12.27,23.61,-47.19
031330,에스에이엠티,기타,8330.0,10.99,1.67,15.2,0.72,0.0,83.3,2.71,-30.58,13.8
036830,솔브레인홀딩스,기타,40300.0,1.73,0.47,27.17,0.06,0.0,82.63,-7.04,13.2,-43.24
099320,쎄트렉아이,기타,76100.0,54.51,3.35,6.15,8.86,0.0,83.34,5.84,-4.64,-58.71
004490,세방전지,기타,59100.0,5.87,0.49,8.35,0.7,0.0,81.91,3.5,20.0,-9.08
388720,유일로보틱스,기타,70400.0,-83.22,8.48,0.0,0.0,0.0,82.94,4.61,4.92,-32.24
